variable_2008,description_2008,topic_2008,variable_2014,description_2014,topic_2014
EHRSBS2,Usual hours worked per week,Business,TJB2_JOBHRS3,Third number of hours worked per week within a job.,Labor Force
EINCPB1,Incorporated business,Business,EJB1_INCPB,Variable showing if business 1 was incorporated,Labor Force
EINCPB2,Incorporated business,Business,EJB2_INCPB,Variable showing if business 2 was incorporated,Labor Force
EJBIND1,Industry code,Job,TJB1_IND,Industry code,Labor Force
EJBIND2,Industry code,Job,TJB2_IND,Industry code,Labor Force
EJBIND2,Industry code,Job,TJB3_IND,Industry code,Labor Force
EJBIND2,Industry code,Job,TJB4_IND,Industry code,Labor Force
EJBIND2,Industry code,Job,TJB5_IND,Industry code,Labor Force
EJBIND2,Industry code,Job,TJB6_IND,Industry code,Labor Force
EJBIND2,Industry code,Job,TJB7_IND,Industry code,Labor Force
EJNTSSYN,Receipt of joint Social Security payments with spouse,General Income,EJNTSSYN,Did ... receive Social Security income jointly with their spouse?,Programs
EJOBCANT,Health or condition preventing working,Adult Disability,EJOBCANT,Is ... prevented from working?,Disability
ELAYOFF,Spent time on layoff from a job,Labor Force,ENJ_LAYOFF,Indicates whether the individual reported spending some time on layoff for a no-job spell associated with the given month.,Labor Force
ELESSONS,"Does child take music, dance, language lessons",Child Well-Being,ELESSON,"Child/children takes lessons after school (music, dance, language, etc.)",Adult and Child Well Being
ELESSONS,"Does child take music, dance, language lessons",Child Well-Being,RLESSON,Child takes lessons,Adult and Child Well Being
ELISTA,On waiting list for care for YOUNGEST child,Child Care,ELIST,Is reference parent on a waiting list for a child care arrangement?,Child and Dependent Care
ELKWRK,Spent time looking for work,Labor Force,ENJ_LKWRK,Did ... ACTIVELY look for work in one or more weeks (during the no-job spell)?,Labor Force
ELOSTTH,Report of adult tooth loss,Medical Expenses,ELOSTTH,Has ... lost any of his/her permanent adult teeth?,Health Care
EMDJT,Jointly owned money market deposit account,Assets,EJSOWNMM,"Owned any money market accounts or money market funds jointly during the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
EMDOAST,Solely owned money market deposit account,Assets,EOOWNMM,Owned any money market accounts or money market funds individually during the reference period.,Assets
EMHLOAN,Mortgage or debt on mobile home,Real Estate,EMHDEBT,"Whether there were any mortgages or loans against the mobile home as of December of the reference year [such as mortgages, reverse mortgages, installment loans, contracts to purchase, and other debts held against the mobile home; this is household-level data, therefore this value is copied to every member of the household].",Assets
EMHTYPE,Site or mobile home debt,Real Estate,EMHLOAN1SITE,"Composition of the first mortgage or loan against the mobile home [this is household-level data, therefore this value is copied to every member of the household].",Assets
EMHTYPE,Site or mobile home debt,Real Estate,EMHLOAN2SITE,"Composition of the second mortgage or loan against the mobile home [this is household-level data, therefore this value is copied to every member of the household].",Assets
EMOR1INT,Interest rate on first mortgage,Real Estate,EPRLOAN1RATE,"Annual interest rate of the first mortgage or loan against the primary residence [that is not a mobile home; this is household-level data, therefore this value is copied to every member of the household].",Assets
EMOR1PGM,First loan FHA/VA mortgage program,Real Estate,EPRLOAN1TYPE,"Type of mortgage of the first mortgage or loan against the primary residence [that is not a mobile home; this is household-level data, therefore this value is copied to every member of the household].",Assets
EMOR1VAR,Variable or fixed rate for first home mortgage,Real Estate,EPRLOAN1FXVR,"Type of interest rate of the first mortgage or loan against the primary residence [that is not a mobile home; this is household-level data, therefore this value is copied to every member of the household].",Assets
EMOR2INT,Interest rate on 2nd mortgage,Real Estate,EPRLOAN2RATE,"Annual interest rate of the second mortgage or loan against the primary residence [that is not a mobile home; this is household-level data, therefore this value is copied to every member of the household].",Assets
EMOR2PGM,2nd loan FHA/VA mortgage program,Real Estate,EPRLOAN2TYPE,"Type of mortgage of the second mortgage or loan against the primary residence [that is not a mobile home; this is household-level data, therefore this value is copied to every member of the household].",Assets
EMOR2VAR,Variable/fixed rate for 2nd loan,Real Estate,EPRLOAN2FXVR,"Type of interest rate of the second mortgage or loan against the primary residence [that is not a mobile home; this is household-level data, therefore this value is copied to every member of the household].",Assets
EMOTHDIV,Dividends credited against margin accounts,Assets,EJSMFINCTYPE,Type of dividends received from jointly-owned mutual funds during the reference period [for respondents with a spouse or civil union partner in the household].,Assets
EMOTHDIV,Dividends credited against margin accounts,Assets,EOMFINCTYPE,Type of dividends received from individually-owned mutual funds during the reference period.,Assets
EMS,Marital status,Demographic,EMS,"Is ... currently married, widowed, divorced, separated, or never married?",Demographics
ENATCIT,How the respondent became a US citizen,Demographic,ENATCIT,How did ... become a U.S citizen?,Demographics
ENOINCHK,Did respondent receive routine/preventative care,Medical Expenses,ENOINCHK,Did ... receive any routine or preventative care?,Health Care
ENOINCLN,Did respondent go to clinic/public health dept,Medical Expenses,ENOINCLN,Where did ... go to get this/those health care service(s)? (Clinic or Public Health Department),Health Care
ENOINDDS,Did respondent go to a dentist's office,Medical Expenses,ENOINDDS,Where did ... go to get this/those health care service(s)? (Dentist's office),Health Care
ENOINDNT,Dental care while without health insurance,Medical Expenses,ENOINDNT,"During the month(s) ... was not covered by any health insurance, did he/she go to a dentist or other dental professional?",Health Care
ENOINDOC,Doctor or other health care while without health ins,Medical Expenses,ENOINDOC,"During the month(s) ... was not covered by any health insurance, did he/she go to a doctor, nurse, or other medical provider?",Health Care
ENOINDR,Did respondent go to a doctor's office,Medical Expenses,ENOINDR,Where did ... go to get this/those health care service(s)? (Doctor's office),Health Care
ENOINER,Did respondent go to an emergency room,Medical Expenses,ENOINER,Where did ... go to get this/those health care service(s)? (Emergency Room),Health Care
ENOINHSP,Did respondent go to a hospital (not emergency rm),Medical Expenses,ENOINHSP,"Where did ... go to get this/those health care service(s)? (Hospital, excluding emergency room)",Health Care
ENOININC,Was resp. asked income before cost quoted for treat,Medical Expenses,ENOININC,Did anyone ask what ... income was before they set a price for the services?,Health Care
ENOINOTH,Did respondent go to someplace else,Medical Expenses,ENOINOTH,Where did ... go to get this/those health care service(s)? (Someplace else),Health Care
ENOINTRT,Did respondent receive treatment,Medical Expenses,ENOINTRT,Did ... receive treatment for an illness or injury?,Health Care
ENOINVA,Did respondent go to a VA hospital,Medical Expenses,ENOINVA,Where did ... go to get this/those health care service(s)? (VA hospital),Health Care
ENONHH,Covered by plan owned by person outside household,Health Insurance,RNONHH,Recode - indicating coverage by plan owned by someone outside household during the month (comparable to prior SIPP Panels),Health Insurance
ENUMMORT,Number of debts on this home,Real Estate,TPRLOAN_NUM,"Number of mortgages or loans against the primary residence as of December of the reference year [that is not a mobile home; this is household-level data, therefore this value is copied to every member of the household].",Assets
EOINCB1,Receipt of non-salary income,Business,EJB1_OINCB,Spell variable showing if there was any additional income received by the respondent through business 1.,Labor Force
EOINCB2,Receipt of non-salary income,Business,EJB2_OINCB,Spell variable showing if there was any additional income received by the respondent through business 2.,Labor Force
EORIGIN,"Spanish, Hispanic or Latino",Demographic,EORIGIN,"Is ... Spanish, Hispanic, or Latino?",Demographics
EOTHRE,Household owns other real estate,Real Estate,EOWN_RE,Owned any other real estate during the reference period [such as vacation homes and undeveloped lots].,Assets
EOTHVEH,Own other Vehicle,Real Estate,EOWN_RECV,"Whether any member of the household owned a motorcycle, boat, RV, or other recreational vehicle during the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EOV1OWE,Money owed for first other vehicle,Real Estate,EBOATDEBT,"Whether any money was owned on the boat as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EOV1OWE,Money owed for first other vehicle,Real Estate,EMCYCDEBT,"Whether any money was owned on the motorcycle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EOV1OWE,Money owed for first other vehicle,Real Estate,EORECDEBT,"Whether any money was owned on the other recreational vehicle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EOV1OWE,Money owed for first other vehicle,Real Estate,ERVDEBT,"Whether any money was owned on the RV as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EOV1OWN1,1st owner of 1st other vehicle,Real Estate,EBOATOWNER1,"Person number of the first owner of the boat as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EOV1OWN1,1st owner of 1st other vehicle,Real Estate,EMCYCOWNER1,"Person number of the first owner of the motorcycle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EOV1OWN1,1st owner of 1st other vehicle,Real Estate,EORECOWNER1,"Person number of the first owner of the other recreational vehicle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EOV1OWN1,1st owner of 1st other vehicle,Real Estate,ERVOWNER1,"Person number of the first owner of the RV as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EOV1OWN2,2nd owner of 1st other vehicle,Real Estate,EBOATOWNER2,"Person number of the second owner of the boat as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EOV1OWN2,2nd owner of 1st other vehicle,Real Estate,EBOATOWNER3,"Person number of the third owner of the boat as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EOV1OWN2,2nd owner of 1st other vehicle,Real Estate,EMCYCOWNER2,"Person number of the second owner of the motorcycle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EOV1OWN2,2nd owner of 1st other vehicle,Real Estate,EORECOWNER2,"Person number of the second owner of the other recreational vehicle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EOV1OWN2,2nd owner of 1st other vehicle,Real Estate,ERVOWNER2,"Person number of the second owner of the RV as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EOVBOAT,Anyone own a boat?,Real Estate,EREC_BOAT,"Ownership of a boat by anyone in the household during the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EOVMTRCY,Anyone own a motorcycle?,Real Estate,EREC_MCYC,"Ownership of a motorcycle by anyone in the household during the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EOVOTHRV,Anyone own any other vehicle,Real Estate,EREC_OREC,"Ownership of any other recreational vehicle by anyone in the household during the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EOVRV,Anyone own an RV?,Real Estate,EREC_RV,"Ownership of a RV by anyone in the household during the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets
EPACASH1,Whether ... or child received cash assistance,General Income,ETANFOWN,This question determines the owner of the TANF benefits for this spell.,Programs
EPAOTHR2,"How about child care services or assistance (since reference month 1 1st,) so you could go to work or school or training?",General Income,ECHLD_ANY,Did ... receive any child care services or assistance in order to go to work or school or training?,Child and Dependent Care
EPAOTHR5,Whether ... received housing assistance,General Income,EHOUSE_ANY,Did ... receive assistance to help pay for housing?,Programs
EPARREAD,Times in past week child read to by design parent,Child Well-Being,EREADCWB,How many days in a typical week did reference parent read to child/children?,Adult and Child Well Being
EPARREAD,Times in past week child read to by design parent,Child Well-Being,RREADCWB,Number of times reference parent read to child 0-5.,Adult and Child Well Being
EPARTB11,Person number of partner 1,Business,EJB1_PARTB1,Person number of partner in the household,Labor Force
EPARTB12,Person number of partner 1,Business,EJB2_PARTB1,Person number of partner in the household,Labor Force
EPARTB21,Person number of partner 2,Business,EJB1_PARTB2,Person number of partner in the household,Labor Force
EPARTB22,Person number of partner 2,Business,EJB2_PARTB2,Suppressed,Labor Force
EPARTB31,Person number of partner 3,Business,EJB1_PARTB3,Suppressed,Labor Force
EPARTB32,Person number of partner 3,Business,EJB2_PARTB3,Suppressed,Labor Force
EPAYHR1,Paid by the hour,Job,EJB1_PAYHR1,Type of first pay rate,Labor Force
EPAYHR1,Paid by the hour,Job,EJB1_PAYHR2,Type of second pay rate,Labor Force
EPAYHR1,Paid by the hour,Job,EJB1_PAYHR3,Type of third pay rate,Labor Force
EPAYHR2,Paid by the hour,Job,EJB2_PAYHR1,Type of first pay rate,Labor Force
EPAYHR2,Paid by the hour,Job,EJB2_PAYHR2,Type of second pay rate,Labor Force
EPAYHR2,Paid by the hour,Job,EJB2_PAYHR3,Type of third pay rate,Labor Force
EPAYRECV,Payments received,Child Support,ECSANY,Did ... receive child support payments at any time during the reference period?,Programs
EPDJBTHN,Paid job during the reference period,Labor Force,EJB1_SCRNR,Flag indicating the presence of job 1 during the reference year,Labor Force
EPDJBTHN,Paid job during the reference period,Labor Force,EJB2_SCRNR,Flag indicating the presence of job 2 during the reference year,Labor Force
EPERSPY1,First of several persons who paid rent,Real Estate,ERMU_PAYER1,"Person number of the first household member who paid for basic utilities and/or mortgage or rent in December of the reference year [this is household-level data, therefore this value is copied to every member of the household].",Assets
EPERSPY2,2nd of several persons who paid rent,Real Estate,ERMU_PAYER2,"Person number of the second household member who paid for basic utilities and/or mortgage or rent in December of the reference year [this is household-level data, therefore this value is copied to every member of the household].",Assets
EPERSPY3,Third of several persons who paid rent,Real Estate,ERMU_PAYER3,"Person number of the third household member who paid for basic utilities and/or mortgage or rent in December of the reference year [this is household-level data, therefore this value is copied to every member of the household].",Assets
EPNDAD,Person number of father,Demographic,EPNPAR2,Person number of parent 2,Demographics
EPNMOM,Person number of mother,Demographic,EPNPAR1,Person number of parent 1,Demographics
EPNSPOUS,Person number of spouse,Demographic,EPNSPOUSE,Person number of spouse,Demographics
EPRESDRG,Prescription medication use in the last 12 months,Medical Expenses,EPRESDRG,Did ... take any prescription medications?,Health Care
EPREVTEN,Type of tenure of the previous,Migration History,EEHC_PVTEN,This is the tenure of the residence that precedes the residence of the spell that includes Month1 of the reference year.,Residences
EPROPB1,Type of proprietorship,Business,EJB1_PROPB,Variable showing if business 1 was a partnership.,Labor Force
EPROPB2,Type of proprietorship,Business,EJB2_PROPB,Variable showing if business 2 was a partnership.,Labor Force
EPSSTHRU,Receipt of child support as bonus/passthru,General Income,EPTCS,"At any time during this period, did ... receive any child support as a bonus or pass-through from a state or county welfare program, or any disregard payment?",Programs
EPTRESN,Main reason for working less than 35 hours,Labor Force,EJB1_PTRESN1,What is/was the main reason ... worked less than 35 hours per week?,Labor Force
EPTRESN,Main reason for working less than 35 hours,Labor Force,EJB1_PTRESN2,What is/was the main reason ... worked less than 35 hours per week?,Labor Force
EPTRESN,Main reason for working less than 35 hours,Labor Force,EJB1_PTRESN3,What is/was the main reason ... worked less than 35 hours per week?,Labor Force
EPTRESN,Main reason for working less than 35 hours,Labor Force,EJB2_PTRESN1,What is/was the main reason ... worked less than 35 hours per week?,Labor Force
EPTRESN,Main reason for working less than 35 hours,Labor Force,EJB2_PTRESN2,What is/was the main reason ... worked less than 35 hours per week?,Labor Force
EPTRESN,Main reason for working less than 35 hours,Labor Force,EJB2_PTRESN3,What is/was the main reason ... worked less than 35 hours per week?,Labor Force
EPVANEXP,How much were annual expenses for work related items,Work Related Expenses - Child Support Paid,TJB1_PVOEXPC,What is the annual amount of ... other job-related expenses?,Labor Force
EPVCOMUT,How much were...'s weekly commute expenses?,Work Related Expenses - Child Support Paid,TJB1_PVOTHRC,How much are ... work commuting expenses?,Labor Force
EPVMILWK,How many miles did...drive to work?,Work Related Expenses - Child Support Paid,TJB1_PVMILE,How many miles did ... drive each way as part of his/her commute?,Labor Force
EPVPAPRK,Did...work related expenses include paid parking?,Work Related Expenses - Child Support Paid,EJB1_PVPARK,Did ... pay any parking or tolls?,Labor Force
EPVPAYWK,How much did...spend for parking or tolls?,Work Related Expenses - Child Support Paid,TJB1_PVPARKC,How much did ... spend on parking and tolls?,Labor Force
EPVWK1,Drive own vehicle to work?,Work Related Expenses - Child Support Paid,EJB1_PVWKTR1,Edited variable indicating whether the respondent drove his own vehicle to work,Labor Force
EPVWK2,Did ... car/van pool to work?,Work Related Expenses - Child Support Paid,EJB1_PVWKTR2,Edited variable indicating whether the respondent was a rider in someone else's vehicle/van pool to work,Labor Force
EPVWK3,Did ... use the public transit?,Work Related Expenses - Child Support Paid,EJB1_PVWKTR3,Edited variable indicating whether the respondent took a bus to work,Labor Force
EPVWK3,Did ... use the public transit?,Work Related Expenses - Child Support Paid,EJB1_PVWKTR4,Edited variable indicating whether the respondent took rail to work,Labor Force
EPVWK3,Did ... use the public transit?,Work Related Expenses - Child Support Paid,EJB1_PVWKTR5,Edited variable indicating whether the respondent took other public transportation to work,Labor Force
EPVWK4,Did ... bike/walk to work?,Work Related Expenses - Child Support Paid,EJB1_PVWKTR6,Edited variable indicating whether the respondent walked to work,Labor Force
EPVWK4,Did ... bike/walk to work?,Work Related Expenses - Child Support Paid,EJB1_PVWKTR7,Edited variable indicating whether the respondent walked to work,Labor Force
EPVWK5,Did ... get to work some other way?,Work Related Expenses - Child Support Paid,EJB1_PVWKTR8,Edited variable indicating whether the respondent drove a company vehicle to work,Labor Force
EPVWK5,Did ... get to work some other way?,Work Related Expenses - Child Support Paid,EJB1_PVWKTR9,Edited variable indicating whether the respondent worked from home,Labor Force
EPVWK5,Did ... get to work some other way?,Work Related Expenses - Child Support Paid,EJB1_PVWKTRA,Edited variable indicating whether the respondent got to work another way,Labor Force
EPVWKEXP,Did...have to pay for work related licenses?,Work Related Expenses - Child Support Paid,EJB1_PVOEXP,Did ... have any other job-related expenses?,Labor Force
ER05,Receipt of State Unemployment Comp. (ISS Code 5),General Income,EUC1MNYN,"Whether regular, government-provided Unemployment Compensation payments were received in a given month",Programs
ER06,Receipt of Supplemental Unemployment Benefits,General Income,EUC2MNYN,"Whether supplemental, employer-provided Unemployment Compensation payments were received in a given month",Programs
ER10,Receipt of Workers Compensation (ISS Code 10),General Income,EWCMNYN,Did ... receive Workers' Compensation in this month of the reference period (1- 12)?,Programs
ER20,Receipt of public assistance payments (ISS Code 20),General Income,RTANFYN,Recoded variable indicating whether respondent is covered by the TANF benefit in this month,Programs
ER21,Receipt of General Assistance or General Relief,General Income,TGAYN,Recoded variable indicating whether respondent is covered by the GA benefit in this month,Programs
ER25,Receipt of WIC (ISS Code 25),General Income,RWICYN,Recoded variable indicating whether respondent is covered by the WIC benefit in this month,Programs
ER27,Receipt of food stamps (ISS Code 27),General Income,RFSYN,Recoded variable indicating whether respondent is covered by the SNAP benefit in this month,Programs
ERACE,The race(s) the respondent is,Demographic,ERACE,What race(s) does ... consider herself/himself to be?,Demographics
ERACE,The race(s) the respondent is,Demographic,TRACE,What race(s) does ... consider herself/himself to be? (detailed categories) Multi-race individuals are included in ERACE as well as TRACE.,Demographics
ERELAT01,The 1st person in the hh is this person's [blank].,Household Relationships,ERELRP,Household relationship (old values),Demographics
ERELIG,How often child goes to religious event,Child Well-Being,ERELIG,"In the past year, how often did child/children go to religious services or religious social or school events?",Adult and Child Well Being
ERELIG,How often child goes to religious event,Child Well-Being,RRELIG,Frequency attending religious services with child 6-17,Adult and Child Well Being
ERENDB1,Reason business ended,Business,EJB1_RENDB,What is the main reason ... gave up or ended this business?,Labor Force
ERENDB2,Reason business ended,Business,EJB2_RENDB,What is the main reason ... gave up or ended this business?,Labor Force
ERIOWN,Rental property owned in own name,Rental Properties,EOOWNRP,Owned any rental properties individually during the reference period.,Assets
ERJOWN,Own rental property jointly with spouse,Rental Properties,EJSOWNRP,"Owned any rental properties jointly during the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
EROLOVR1,Money rolled over into IRA/other type of retirement,General Income,EROLLOVR1,Did ... re-invest or roll over the lump sum payment into an IRA or other retirement plan?,Programs
EROLOVR2,Plan to roll over money into IRA/other retirement,General Income,EROLLOVR2,Does ... plan on re-investing or rolling over any of the lump sum payment into an IRA or other retirement plan?,Programs
ERRP,Household relationship,Demographic,ERELRPE,Household relationship (detailed categories),Demographics
ERSEND1,Main reason stopped working for employer,Job,EJB1_RSEND,What is the main reason ... stopped working for his/her employer?,Labor Force
ERSEND2,Main reason stopped working for employer,Job,EJB2_RSEND,What is the main reason ... stopped working for his/her employer?,Labor Force
ERSNOWRK,Main reason for not having a job during the reference period,Labor Force,ENJ_NOWRK1,Why didn't ... work for pay?  Temporarily unable to work because of an injury,Labor Force
ERSNOWRK,Main reason for not having a job during the reference period,Labor Force,ENJ_NOWRK10,Why didn't ... work for pay?  Not interested in working at a job,Labor Force
ERSNOWRK,Main reason for not having a job during the reference period,Labor Force,ENJ_NOWRK11,Why didn't ... work for pay?  Usually worked 15 or more hours per week without pay in a family business or farm,Labor Force
ERSNOWRK,Main reason for not having a job during the reference period,Labor Force,ENJ_NOWRK12,Why didn't ... work for pay?  Other Reason,Labor Force
ERSNOWRK,Main reason for not having a job during the reference period,Labor Force,ENJ_NOWRK2,Why didn't ... work for pay?  Temporarily unable to work because of an illness,Labor Force
ERSNOWRK,Main reason for not having a job during the reference period,Labor Force,ENJ_NOWRK3,Why didn't ... work for pay? Unable to work because of chronic health condition or disability,Labor Force
ERSNOWRK,Main reason for not having a job during the reference period,Labor Force,ENJ_NOWRK4,Why didn't ... work for pay?  Retired,Labor Force
ERSNOWRK,Main reason for not having a job during the reference period,Labor Force,ENJ_NOWRK5,Why didn't ... work for pay? Pregnancy/childbirth,Labor Force
ERSNOWRK,Main reason for not having a job during the reference period,Labor Force,ENJ_NOWRK6,Why didn't ... work for pay?  Taking care of children/other persons,Labor Force
ERSNOWRK,Main reason for not having a job during the reference period,Labor Force,ENJ_NOWRK7,Why didn't ... work for pay?  Going to school,Labor Force
ERSNOWRK,Main reason for not having a job during the reference period,Labor Force,ENJ_NOWRK8,Why didn't ... work for pay? Unable to find work,Labor Force
ERSNOWRK,Main reason for not having a job during the reference period,Labor Force,ENJ_NOWRK9,Why didn't ... work for pay?  On layoff (temporary or indefinite),Labor Force
ERTOWN,Rental property held jointly with other than spouse,Rental Properties,EJOOWNRP,Owned any rental properties jointly during the reference period [for respondents without a spouse or civil union partner in the household].,Assets
ESELFCAA,YOUNGEST child cared for self,Child Care,EKIDSELF,Child/children cared for themselves while reference parent was not there.,Child and Dependent Care
ESELFCAA,YOUNGEST child cared for self,Child Care,RKIDSELF,Child cares for self,Child and Dependent Care
ESEX,Sex of this person,Demographic,ESEX,Sex of this person,Demographics
ESKOOLWK,Physical/learning/mental condition,Child Disability,ESKOOLWK,Does ... have any limitations in his/her ability to do regular school work?,Disability
ESLRYB1,Salary draw from business,Business,EJB1_BSLRYB,"Did/does ... draw a regular salary from ... - that is, take a regular paycheck, as opposed to just treating the profits as income?",Labor Force
ESLRYB2,Salary draw from business,Business,EJB2_BSLRYB,"Did/does ... draw a regular salary from ... - that is, take a regular paycheck, as opposed to just treating the profits as income?",Labor Force
ESMI,Stocks or funds owned in own name,Stocks and Mutual Funds,EOOWNMF,Owned any mutual funds individually during the reference period.,Assets
ESMI,Stocks or funds owned in own name,Stocks and Mutual Funds,EOOWNST,Owned any stocks individually during the reference period.,Assets
ESMJM,Mutual funds owned jointly with spouse,Stocks and Mutual Funds,EJSOWNMF,"Owned any mutual funds jointly during the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
ESMJS,Stocks owned jointly with spouse,Stocks and Mutual Funds,EJSOWNST,"Owned any stocks jointly during the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
ESOTHDIV,Dividends credited to margin account,Assets,EJSSTINCTYPE,Type of dividends received from jointly-owned stocks during the reference period [for respondents with a spouse or civil union partner in the household].,Assets
ESOTHDIV,Dividends credited to margin account,Assets,EOSTINCTYPE,Type of dividends received from individually-owned stocks during the reference period.,Assets
ESPEAK,Speak language other than English,Demographic,ESPEAK,Does ... speak a language other than English at home?,Demographics
ESPECSCH,Is child a gifted student,Child Well-Being,EGIFTED,Child/children in gifted class/classes.,Adult and Child Well Being
ESPECSCH,Is child a gifted student,Child Well-Being,RGIFTED,Child is in a gifted class,Adult and Child Well Being
ESPORTEA,Is child on a sports team,Child Well-Being,ESPORT,Child/children play on a sports team in or out of school?,Adult and Child Well Being
ESPORTEA,Is child on a sports team,Child Well-Being,RSPORT,Child plays sports,Adult and Child Well Being
ESUPKDYN,Support payments for child(ren) living outside HH,Support for Nonhousehold Members,ESUPPORTPAY,Did ... pay any child support for this/these children?,Programs
ESUPOTRL,Relationship to person supporting,Support for Nonhousehold Members,EOTHSUPRT1YN,Respondent paid support to a parent or parents who lived elsewhere.,Programs
ESUPOTRL,Relationship to person supporting,Support for Nonhousehold Members,EOTHSUPRT2YN,Respondent paid  support to children 21 or older who lived elsewhere.,Programs
ESUPOTRL,Relationship to person supporting,Support for Nonhousehold Members,EOTHSUPRT3YN,Respondent paid support to someone else related who lived elsewhere.,Programs
ESUPOTRL,Relationship to person supporting,Support for Nonhousehold Members,EOTHSUPRT4YN,Respondent paid  support to an ex-spouse or ex-partner who lived elsewhere.,Programs
ESUPOTRL,Relationship to person supporting,Support for Nonhousehold Members,EOTHSUPRT5YN,Respondent paid  support to someone else not related who lived elsewhere.,Programs
ESUPTAM1,Total number of days spent with child(ren)(A),Support for Nonhousehold Members,ETIMESPENT,How much time did ... spend with his/her child(ren) under that age of 21 that lived elsewhere.,Programs
ESVJT,Ownership of jointly held savings account,Assets,EJSOWNSAV,"Owned any savings accounts jointly during the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",Assets
ESVOAST,Ownership of solely held savings account,Assets,EOOWNSAV,Owned any savings accounts individually during the reference period.,Assets
ETENURE,Ownership status of living quarters,Household,EEHC_TEN,Tenure of the residence.,Residences
ETENURE,Ownership status of living quarters,Household,ETENURE,"Are ... living quarters owned, rented, or occupied without payment of rent?",Coverage
ETIAMT01,Time lost last month due to child care failures,Child Care,ETIMELOST,Time lost from work due to problems with child care arrangements.,Child and Dependent Care
ETIAMT02,Unit of time lost because of child care failures,Child Care,ETIMELOST_TP,Amount of time lost from work due to child care problems.,Child and Dependent Care
ETOKSCE1,Where ... received subway/bus tokens--gov't agency,General Income,ETOKEN_SOURCE,Did ... receive bus or subway tokens or passes through a government social service agency?,Programs
ETRANTP1,Whether ... received transportation assistance -- gas vouchers,General Income,ETRANS_TYPE1,Did ... receive gas vouchers?,Programs
ETRANTP2,Whether ... received transportation assistance -- bus or subway tokens,General Income,ETRANS_TYPE2,Did ... receive bus or subway tokens or passes?,Programs
ETRANTP3,Whether ... received transportation assistance -- help with car,General Income,ETRANS_TYPE3,"Did ... receive help registering, repairing, or insuring a car?",Programs
ETRANTP4,Whether ... received transportation assistance -- ride to doctors,General Income,ETRANS_TYPE4,Did ... receive rides to a doctor's office or medical appointment?,Programs
ETRANTP5,Whether ... received transportation assistance -- other,General Income,ETRANS_OTH,Did ... receive some other kind of transportation assistance?,Programs
ETYPDAD,Type of child to father,Demographic,EPAR1TYP,Type of relationship to parent 1,Demographics
ETYPMOM,Type of child to mother,Demographic,EPAR2TYP,Type of relationship to parent 2,Demographics
EUECTYP5,Receipt of State unemployment comp. (ISS Code 5),General Income,EUCTYP1YN,"Did ... receive regular, government-provided Unemployment Compensation payments?",Programs
EUECTYP6,Receipt of Supplemental Unemployment Benefits,General Income,EUCTYP2YN,"Did ... receive supplemental, employer-provided Unemployment Compensation payments?",Programs
EUNION1,Union/employee-association membership,Job,EJB1_UNION,"At ..., was ... a member of either a labor union or an employee association like a union?",Labor Force
EUNION2,Union/employee-association membership,Job,EJB2_UNION,"At ..., was ... a member of either a labor union or an employee association like a union?",Labor Force
EUTILYN,Payment of utilities in public housing units,Household,EUTILITIES,"(In addition to rent), the household paid (separately) for water, electricity, gas, or oil?",Programs
EVAQUES,Veteran's annual income questionnaire,Armed Forces,EVAQUES,Was ... required to fill out an annual income questionnaire in order to receive benefit payments from the Department of Veteran Affairs?,Programs
